,Noms,Adresse,Reviews,Reviews_nbrs
0,Amrharhe Abdellatif ,"Avenue Al Massira (C.Y.M), Amal 1, J5 , N°728 , Yaacoub al Mansour ,Rabat, Rabat 10140","4,5",22
1,El Yaagoubi Hind ,"Appt. N° 2, 10100 Résid. Camélia 1, Rue Joullanar, Rabat 10100","4,4",20
2,Mahaj Clinique Dentaire,"Rue Al Ijjass, Rabat 10100","4,3",114
3,Centre Dentaire Spécialisé Dr Yasser Boukhal ,"1er Étage , 569, Hay Al Massira, Amal 5, C.Y.M 10140, Rabat, Rabat","4,7",86
4,Cabinet Dentaire Docteur Aalloula El Houssaine ,"Hay Ryad, Rue Al Ijjass Sect. 10 N°1, Rabat","5,0",1
5,Clinique Dentaire Annakhil Riad,"10000, 27 Av. Annakhil, Rabat","4,1",19
6,Clinique Dentaire Riad,"Res Dar El Mehdi, 3 Rue Arromane, Rabat 10110","5,0",23
7,Berrahou Ikram ,"144, Avenue Al Massira (C.Y.M) Diour Elmalk Bloc D, 1°Ét. Kouass, 10130, Rabat 10130","3,4",5
8,Cabinet Dr DOUHAOUI BRAHIM,"j5 Av. Al Massira, Rabat","4,6",20
9,Guerbaz Fatima,"Hay Ryad, Résid. Almassafat Sect.10, 2°Ét. N°5, Rabat, Rabat 10000","4,6",10
10,LA CLINIQUE DENTAIRE DES NATIONS UNIES RABAT,"1ér étage, 92 Av. des Nations Unies, Rabat 10080","3,8",87
11,Clinique Dentaire Des Spécialités Rabat,"rez de chaussée, 92 Av. des Nations Unies, Rabat 10080","3,2",41
12,Centre Dentaire ALMANAR ,"2ieme étage, Complement Massira, 1004 Amal 5, Rabat 10140","4,9",85
13,Cabinet Dentaire Spécialisé Bentayeb,"Appartement n°1 Résidence Ryad Soundouss 2 Angle Avenue Annakhil Et Rue Arromane, Rabat 10105","4,7",90
14,Hadouche Younes ,"16, Avenue Al Massira (C.Y.M) Amal 4, Rabat-Salé-Zemmour-Zaër, 10050, Rabat 10050","5,0",4
